Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
Crown Heights,40.67082917695294,-73.94329119073582,Super Power,57523f41cd10585cbbdb0f87,Tiki Bar,40.67395180142969,-73.9501836814109,New York,NY
Crown Heights,40.67082917695294,-73.94329119073582,Mr. Chang's Bar,579d0c2b498e9c3e36e7ee07,Dive Bar,40.663907,-73.953212,New York,NY
East Flatbush,40.64171776668961,-73.93610256185836,Bklyn Prime,5af79ae2a89b5a002f127408,Bar,40.637114,-73.934743,New York,NY
East Flatbush,40.64171776668961,-73.93610256185836,Round 2 Cafe,581ec50f195c4b4b898482f4,Lounge,40.64412884975221,-73.92944572863716,New York,NY
East Flatbush,40.64171776668961,-73.93610256185836,Halsey Bar & Grill,5aed20b07564f7002c60e597,Bar,40.632563,-73.934345,New York,NY
East Flatbush,40.64171776668961,-73.93610256185836,Fanno Winebar,4e2427633151306f89294b29,Wine Bar,40.650641014449874,-73.94696831703186,New York,NY
Kensington,40.642381958003526,-73.98042110559474,The Edge Bar,4c9fdb94d3c2b60cbe6bd8bc,Bar,40.647487584527845,-73.9758259984917,New York,NY
Kensington,40.642381958003526,-73.98042110559474,Beverley Social Club,5a7612818c35dc32a29899ce,Event Space,40.643625,-73.969441,New York,NY
Kensington,40.642381958003526,-73.98042110559474,Pacya NYC,4c1da36ffcf8c9b63a33ac0b,Nightclub,40.638706365496255,-73.9910920903278,New York,NY
Kensington,40.642381958003526,-73.98042110559474,Grace Gaelic Hospitality,524662b8498e053fab68648c,Bar,40.643070220947266,-73.97396087646484,New York,NY
Windsor Terrace,40.65694583575104,-73.98007340430172,Brooklyn Music Shop Homestead,5bc2a6b66fd6260039cf6dc7,Music Venue,40.658534,-73.979835,New York,NY
